label,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
U,-0.019703448,-0.326859757,-0.047560085,0.011312723,-0.263097957,-0.192794934,-0.00524956,-0.249107897,0.136210531,0.009758115,0.000916004,-0.098749176,-0.009758085,-0.000916004,0.098593235,0.001943827,0.183024943,-0.066696376,-0.007922471,0.16584301,0.178380266,-0.001403391,0.357946932,-0.025089912,3.18E-05,0.315565765,0.279284179
U,-0.028948665,-0.334064633,-0.059905551,0.005765319,-0.272753075,-0.21079357,-0.005670428,-0.260038167,0.118539162,0.008159697,0.002161801,-0.100900769,-0.008159697,-0.002161801,0.100760676,0.001208663,0.184671819,-0.036992718,-0.003668368,0.170885742,0.191878587,-0.003348768,0.351706624,0.026990687,-0.002717495,0.314491153,0.312664092
U,-0.041854918,-0.312600762,-0.049768459,-0.009411633,-0.267931968,-0.209398493,-0.004489183,-0.252421021,0.117875047,0.002814412,0.002858818,-0.102204315,-0.002814412,-0.002858818,0.102075301,-0.018332601,0.175941586,-0.031975325,-0.01779604,0.153915644,0.22236833,-0.0088346,0.342321038,0.033468425,-0.012165666,0.296591043,0.360800058
U,-0.069766819,-0.312899709,-0.063356504,-0.03481406,-0.267513126,-0.211939678,-0.03943336,-0.240323722,0.12738733,0.005895972,0.001836598,-0.105885647,-0.005895972,-0.001836598,0.10575971,-0.013580859,0.179550827,-0.059132747,-0.022770464,0.157116771,0.187898815,-0.018926024,0.360663652,-0.005988458,-0.019561589,0.321949959,0.294649154
U,-0.020489097,-0.334273338,-0.066203579,0.010728538,-0.267939717,-0.220795289,0.003228545,-0.261487752,0.10723035,0.011205494,0.001746535,-0.101125486,-0.011205494,-0.001746535,0.100938,0.00809145,0.179935873,-0.055472609,-0.002337813,0.168034494,0.205629483,0.006190062,0.358712614,-0.005016845,0.00352329,0.320615947,0.328652263
U,-0.026093394,-0.330080628,-0.074737959,0.007127285,-0.264238209,-0.218979314,-0.003270775,-0.255541176,0.105502352,0.0110569,0.000542343,-0.096502446,-0.01105687,-0.000542343,0.096331306,0.010314643,0.178977191,-0.032202449,-0.003196299,0.167989433,0.174432069,0.005727947,0.354947388,0.04124492,0.001860142,0.321743548,0.282343537
U,-0.048598468,-0.311799809,-0.052364189,-0.014908314,-0.267414004,-0.208002508,-0.003291249,-0.243932337,0.138563827,0.004744291,0.002713323,-0.109632701,-0.004744291,-0.002713352,0.109510779,-0.020049274,0.174477816,-0.045431741,-0.020208478,0.153165579,0.223445788,-0.009987652,0.350921631,0.018108418,-0.012476265,0.300521374,0.353200346
U,-0.026291072,-0.323520988,-0.060559545,0.007571876,-0.261858612,-0.220924243,-0.002186179,-0.249059141,0.122137979,0.007026792,0.001630366,-0.106594115,-0.007026792,-0.001630366,0.106595829,-0.000100851,0.180162549,-0.058315489,-0.005810976,0.1681844,0.217440382,-0.003418446,0.35629946,-0.009113294,-0.001212537,0.320692062,0.344284356
U,-0.037480444,-0.34163633,-0.036350314,-0.008208275,-0.278570563,-0.192266986,-0.015736163,-0.261124879,0.144037291,0.009609222,0.001295686,-0.101618409,-0.009609222,-0.001295656,0.10146679,0.004966378,0.179647803,-0.057894979,-0.000526488,0.166581869,0.187088326,-0.003219098,0.355954766,-0.01231752,-0.003300786,0.316729188,0.299976617
U,-0.028050005,-0.329432517,-0.061930265,0.003924787,-0.267837495,-0.208059341,-0.006857514,-0.255700618,0.115904741,0.009421825,0.001110494,-0.098797731,-0.009421855,-0.001110494,0.098647617,0.00598979,0.18617928,-0.044365846,-0.00197491,0.174308658,0.16635786,0.001752019,0.356888592,0.018521892,0.003019094,0.321211636,0.265920639
